,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
0,31853486,IA Recrutement,CDI,Saint-Sulpice-et-Cameyrac - 33,,https://www.hellowork.com/fr-fr/emplois/31853486.html,,,                         Chef d'Équipe Couvreur-Zingueur H/F                     ,                                                                                       23/04/2023                     
1,33390214,IA Recrutement,Intérim,Saint-Émilion - 33,,https://www.hellowork.com/fr-fr/emplois/33390214.html,,,                         Plombier-Chauffagiste H/F                     ,                                                                                       il y a 22 heures                     
2,30777814,IA Recrutement,Intérim,Pompignac - 33,,https://www.hellowork.com/fr-fr/emplois/30777814.html,,,                         Plombier Chauffagiste N3 H/F                     ,                                                                                       il y a 22 heures                     
3,33390276,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/33390276.html,,,                         Manoeuvre H/F                     ,                         il y a 22 heures                     
4,33390256,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/33390256.html,,,                         Etancheur H/F                     ,                         il y a 22 heures                     
5,34726178,IA Recrutement,Intérim,Cenon - 33,,https://www.hellowork.com/fr-fr/emplois/34726178.html,,,                         Peintre en Bâtiment H/F                     ,                                                                                       il y a 11 heures                     
6,34750924,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34750924.html,,,                         Menuisier Agencement H/F                     ,                                                                                       il y a 3 heures                     
7,34750981,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34750981.html,,,                         Bardeur H/F                     ,                                                                                       il y a 3 heures                     
8,34750959,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34750959.html,,,                         Conducteur Engin Pelle H/F                     ,                                                                                       il y a 3 heures                     
9,33516969,IA Recrutement,CDI,Cestas - 33,,https://www.hellowork.com/fr-fr/emplois/33516969.html,,,                         Technicien de Maintenance H/F                     ,                                                                                       29/03/2023                     
10,34581418,IA Recrutement,Intérim,Eysines - 33,,https://www.hellowork.com/fr-fr/emplois/34581418.html,,,                         Ouvrier Paysagiste H/F                     ,                                                                                       24/04/2023                     
11,33033101,Thales,CDI,Limours - 91,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/33033101.html,,,                         Ingénieur Systèmes IA H/F                     ,                         17/04/2023                     
12,34293807,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34293807.html,,,                         Agent Logistique H/F                     ,                                                                                       17/04/2023                     
13,34682492,IA Recrutement,Intérim,Artigues-près-Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34682492.html,,,                         Assistant Comptable H/F                     ,                         26/04/2023                     
14,31976992,IA Recrutement,Intérim,Carbon-Blanc - 33,,https://www.hellowork.com/fr-fr/emplois/31976992.html,,,                         Manoeuvre Échafaudage H/F                     ,                                                                                       26/04/2023                     
15,34647410,IA Recrutement,Intérim,Ambarès-et-Lagrave - 33,,https://www.hellowork.com/fr-fr/emplois/34647410.html,,,                         Ouvrier Paysagiste H/F                     ,                                                                                       25/04/2023                     
16,34596632,IA Recrutement,Intérim,Mérignac - 33,,https://www.hellowork.com/fr-fr/emplois/34596632.html,,,                         Agent de Bascule H/F                     ,                                                                                       24/04/2023                     
17,34596620,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34596620.html,,,                         Comptable Fournisseurs H/F                     ,                                                                                       24/04/2023                     
18,34590486,IA Recrutement,Intérim,Cestas - 33,,https://www.hellowork.com/fr-fr/emplois/34590486.html,,,                         Technicien de Maintenance H/F                     ,                                                                                       24/04/2023                     
19,34590335,IA Recrutement,Intérim,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/34590335.html,,,                         Manoeuvre en Démolition H/F                     ,                                                                                       24/04/2023                     
20,34590239,IA Recrutement,Intérim,Cestas - 33,,https://www.hellowork.com/fr-fr/emplois/34590239.html,,,                         Chargé de Relations Clients H/F                     ,                                                                                       24/04/2023                     
21,34588229,IA Recrutement,Intérim,Cestas - 33,,https://www.hellowork.com/fr-fr/emplois/34588229.html,,,                         Coordinateur Ordonnancement et Planning H/F                     ,                                                                                       24/04/2023                     
22,34588211,IA Recrutement,Intérim,Saint-Jean-d'Illac - 33,,https://www.hellowork.com/fr-fr/emplois/34588211.html,,,                         Agent de Production H/F                     ,                                                                                       24/04/2023                     
23,34581527,IA Recrutement,Intérim,Marcheprime - 33,,https://www.hellowork.com/fr-fr/emplois/34581527.html,,,                         Ouvrier Paysagiste H/F                     ,                                                                                       24/04/2023                     
24,33539910,IA Recrutement,Intérim,Mérignac - 33,,https://www.hellowork.com/fr-fr/emplois/33539910.html,,,                         Assistant Commercial H/F                     ,                                                                                       29/03/2023                     
25,33500833,IA Recrutement,Intérim,Saint-André-de-Cubzac - 33,,https://www.hellowork.com/fr-fr/emplois/33500833.html,,,                         Plombier H/F                     ,                         29/03/2023                     
26,33931075,Adsearch,CDI,Lyon 3e - 69,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/33931075.html,,,                         Ingénieur Développement C++ IA H/F                     ,                                                                                       07/04/2023                     
27,33407690,SMI-IA / Bouygues Energies & Services,CDI,Beychac-et-Caillau - 33,,https://www.hellowork.com/fr-fr/emplois/33407690.html,,,                         Chef de Projets Automatisme H/F                     ,                         il y a 22 heures                     
28,33407675,SMI-IA / Bouygues Energies & Services,CDI,Carcarès-Sainte-Croix - 40,,https://www.hellowork.com/fr-fr/emplois/33407675.html,,,                         Technicien.Nne Électricité Industrielle H/F                     ,                         il y a 22 heures                     
29,33407711,SMI-IA / Bouygues Energies & Services,CDI,Beychac-et-Caillau - 33,,https://www.hellowork.com/fr-fr/emplois/33407711.html,,,                         Informaticien Industriel H/F                     ,                         il y a 22 heures                     
30,33407700,SMI-IA / Bouygues Energies & Services,CDI,Carcarès-Sainte-Croix - 40,,https://www.hellowork.com/fr-fr/emplois/33407700.html,,,                         Chef de Projets Automatisme H/F                     ,                         il y a 22 heures                     
31,33407701,SMI-IA / Bouygues Energies & Services,CDI,Beychac-et-Caillau - 33,,https://www.hellowork.com/fr-fr/emplois/33407701.html,,,                         Cadre Études de Prix Automatisme Electricité Industrielle H/F                     ,                         il y a 22 heures                     
32,34697926,XXII Group,CDI,Puteaux - 92,,https://www.hellowork.com/fr-fr/emplois/34697926.html,,,                         Product Manager IA H/F                     ,                         26/04/2023                     
33,34604624,La Javaness,CDI,Paris 10e - 75,,https://www.hellowork.com/fr-fr/emplois/34604624.html,,,                         Consultant Data & IA H/F                     ,                         25/04/2023                     
34,33221666,La Javaness,CDI,Paris 1er - 75,,https://www.hellowork.com/fr-fr/emplois/33221666.html,,,                         Project Manager Data - IA H/F                     ,                         22/04/2023                     
