,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
0,32323016,Onera,                             CDI                         ,Palaiseau - 91,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/32323016.html,,,                         Ingenieur Deep Learning Datascience pour Traitement Donnees Optiques H/F                     ,                         03/04/2023                     
1,33141412,BCA Expertise,                             CDI                         ,Paris - 75,Télétravail complet,https://www.hellowork.com/fr-fr/emplois/33141412.html,,"
    
    Super recruteur
",                         Développeur Python H/F                     ,                         21/04/2023                     
2,32537330,Geofit Group,                             CDI                         ,Nantes - 44,,https://www.hellowork.com/fr-fr/emplois/32537330.html,,,                         Ingénieur Chercheur Deep Learning H/F                     ,                         08/04/2023                     
3,34161005,,                             CDD                         ,Cesson-Sévigné - 35,,https://www.hellowork.com/fr-fr/emplois/34161005.html,12 mois,,                         Thèse Optimisation et Capacité de Généralisation des Algorithmes H/F                     ,                         13/04/2023                     
4,34585566,Groupe mentor,                             CDI                         ,Nancy - 54,,https://www.hellowork.com/fr-fr/emplois/34585566.html,,,                         Data Engineer H/F                     ,                         24/04/2023                     
5,33330882,Ocea Smart Building,                             CDI                         ,Courbevoie - 92,,https://www.hellowork.com/fr-fr/emplois/33330882.html,,,                         Responsable Commercial Grands Comptes Marché Tertiaire H/F                     ,                         24/04/2023                     
6,33328348,Ocea Smart Building,                             CDI                         ,Courbevoie - 92,,https://www.hellowork.com/fr-fr/emplois/33328348.html,,,                         Ingénieur Commercial Marché Tertiaire H/F                     ,                         24/04/2023                     
7,33682689,Onera,                             CDI                         ,Toulouse - 31,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/33682689.html,,,                         Ingénieur de Recherche en Systèmes Autonomes H/F                     ,                                                                                       01/04/2023                     
8,31749498,Aure Consulting,                             CDI                         ,Paris - 75,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/31749498.html,,,                         Ingénieur d'Affaires Confirmé ESN H/F                     ,                                                                                       20/04/2023                     
9,34677102,Egis Groupe,                             CDI                         ,Toulouse - 31,,https://www.hellowork.com/fr-fr/emplois/34677102.html,,,                         Chef.Fe de Projet IT - Digital Aviation H/F                     ,                         26/04/2023                     
