,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
0,34814705,Astek,CDI,Boulogne-Billancourt - 92,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34814705.html,,,                         12 Stages R&D - Fin d'Études - Ingénieur - Ingénieur Innovation Intelligence Artificielle Science des Données - Paris France H/F                     ,                         hier                     
1,29653195,LR Technologies Groupe,CDI,Nantes - 44,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/29653195.html,,,                         Développeur Big Data H/F                     ,                                                                                       26/04/2023                     
2,34756823,RATP,CDI,Paris 12e - 75,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34756823.html,,,                         Lead Data Scientist H/F                     ,                         28/04/2023                     
3,33841013,Turner & Townsend,CDI,Lille - 59,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33841013.html,,,                         Project Controls Engineer Construction Projects - Industrial Science And Technology H/F                     ,                         05/04/2023                     
4,34532421,Dexia Crédit Local,CDI,Courbevoie - 92,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34532421.html,,,                         Analyste Risques Modélisateur H/F                     ,                         22/04/2023                     
5,34803219,AXEAL,CDI,Lyon 6e - 69,Télétravail occasionnel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34803219.html,,"
    
    Super recruteur
",                         Data Scientist H/F                     ,                                                                                       hier                     
6,34612171,CEA,CDI,Bouches-du-Rhône - 13,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34612171.html,,,                         Ingénieur Traitement d'Images pour la Protection de la Première Paroi d'Une Installation de Fusion H/F                     ,                         25/04/2023                     
7,32997622,Team.is,CDI,Paris 1er - 75,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32997622.html,,,                         Senior Data Engineer H/F                     ,                         17/04/2023                     
8,34059896,Orange Business,CDI,Belfort - 90,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34059896.html,,,                         Data Scientist Flux Vision H/F                     ,                         12/04/2023                     
9,34362501,Anderson RH,CDI,Voreppe - 38,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34362501.html,,,                         Ingénieur Digital H/F                     ,                         19/04/2023                     
10,30717759,Gorioux Solutions Emploi,CDI,Le Faou - 29,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30717759.html,,,                         Ingenieur Instrumentation et Analyse de Donnees H/F                     ,                         26/04/2023                     
11,30110445,Otteo,CDI,Lille - 59,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30110445.html,,,                         Data Scientist - Lille H/F                     ,                                                                                       09/04/2023                     
12,34784990,IT Link,CDI,Rennes - 35,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34784990.html,,,                         Consultant.e Cloud H/F                     ,                         28/04/2023                     
13,30988964,BAKIA CONSULTING,CDI,Paris 8e - 75,Télétravail occasionnel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30988964.html,,,                         Consultant Junior Epm - Projets Transformation Finance H/F                     ,                                                                                       02/04/2023                     
14,32862730,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32862730.html,,,                         Ingénieur Data Gouvernance H/F                     ,                         14/04/2023                     
15,34800450,IT Link,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34800450.html,,,                         Technicien Mesures Physiques H/F                     ,                         hier                     
16,34828951,IT Link,CDI,Paris - 75,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34828951.html,,,                         Développeur Node Js H/F                     ,                         il y a 4 heures                     
17,34785005,IT Link,CDI,Nantes - 44,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34785005.html,,,                         Développeur C# - Wpf H/F                     ,                         28/04/2023                     
18,34785015,IT Link,CDI,Rennes - 35,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34785015.html,,,                         Lead Développeur.euse PHP H/F                     ,                         28/04/2023                     
19,34691380,IT Link,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34691380.html,,,                         Développeur Java - Angular H/F                     ,                         26/04/2023                     
20,31208393,Orano,CDI,La Hague - 50,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/31208393.html,,,                         Ingénieur Maintenance - Data-Scientist H/F                     ,                         06/04/2023                     
21,31825115,Eni Gas & Power France,CDI,Levallois-Perret - 92,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/31825115.html,,,                         Chef de Projet Forecasting H/F                     ,                         23/04/2023                     
22,34326097,Abylsen,CDI,Clermont-Ferrand - 63,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34326097.html,,"
    
    Super recruteur
",                         Data Scientist H/F                     ,                         18/04/2023                     
23,31826749,Maïki,CDI,Saint-Denis - 93,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/31826749.html,,,                         Master Data H/F                     ,                                                                                       23/04/2023                     
24,33146856,Ermewa,CDI,Levallois-Perret - 92,Télétravail occasionnel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33146856.html,,,                         Data Accuracy Coordinator H/F                     ,                         21/04/2023                     
